ID,Biowaste Feed,Prunning Feed,Recycled Compost Feed,Sawdust Feed,Leaf Feed,Ambient Temperature,Mean Temperature,Max Temperature,Duration,Compost Crude,Compost Net
1,328,164,0,0,0,"10,8",50,75,105,183,97
2,328,164,0,0,0,"10,8",42,65,90,183,97
3,268,134,0,0,0,"13,4",43,63,82,"151,5",56
4,268,134,0,0,0,"13,4",41,65,77,"151,5",56
5,300,150,0,0,0,"13,4",40,62,93,"167,5","65,7"
6,300,150,0,0,0,"13,4",35,54,90,"167,5","65,7"
7,252,126,0,0,0,"14,2",34,52,74,"140,5","48,3"
8,252,126,0,0,0,"14,2",36,51,69,"140,5","48,3"
9,336,200,50,0,0,"16,3",47,65,108,"152,5","68,1"
10,360,156,40,0,0,"16,3",43,68,106,"152,5","68,1"
11,324,144,40,0,0,"19,8",51,78,101,"135,5",61
12,268,121,0,0,0,"19,8",46,78,98,"135,5",61
13,347,137,0,20,0,"20,2",51,79,105,"144,3",69
14,347,125,0,48,0,"21,3",63,79,93,"144,3",69
15,401,60,10,100,0,"22,2",68,90,103,"152,4","59,3"
16,354,67,28,64,0,"22,2",67,75,101,"152,4","59,3"
17,315,72,0,0,32,"23,5",48,69,94,"146,4","60,5"
18,308,61,41,0,44,"23,5",55,76,92,"146,4","60,5"
19,269,42,41,0,56,24,61,80,95,"128,4","60,3"
20,301,40,"7,5",43,50,24,66,80,91,"128,4","60,3"
21,243,37,24,61,0,"24,2",70,83,96,"173,5",94
22,"347,3",71,"62,5",11,28,"24,3",68,79,94,"173,5","93,8"
23,"224,5","67,4",60,0,0,"24,2",52,64,92,"102,6","39,6"
24,271,"59,6","52,5",0,0,"24,2",54,68,90,"103,2","42,6"
25,"331,8","73,6","46,6",0,46,"24,3",48,79,92,179,"74,6"
26,"311,8",60,"25,2",0,34,"24,3",54,80,89,"148,6",48
27,"290,7","40,3","31,1",0,"72,6","21,5",50,73,96,"177,4","101,4"
28,"310,4",45,"32,5",0,"77,8","21,5",57,76,94,"148,6",48
29,313,"49,5",36,0,71,"20,1",61,81,92,194,119
30,305,"44,7","37,2",0,"70,7","20,1",60,85,90,149,87
31,350,"48,8","46,8",0,"78,8",23,59,77,97,"191,8","106,2"
32,261,35,"30,2",0,"65,2","22,4",56,80,95,"162,4",88
33,370,21,"71,4",0,"68,7","22,4","50,4",78,97,"179,8",76
34,"391,2","52,8",45,0,"97,8","22,4",53,78,95,221,110
35,"436,1",55,"52,9",0,"109,7","21,5",42,73,102,"195,8","70,8"
36,442,37,73,0,110,"21,5",52,76,99,"184,6",87
37,282,43,59,0,40,"19,7",49,71,102,161,79
38,380,70,100,0,19,"20,1",48,73,99,"199,6","93,4"
39,"325,3",73,81,0,14,"19,7",48,71,102,"252,8","135,8"
40,384,75,99,0,18,"18,8",53,75,106,"216,8","110,2"
41,"318,4",57,86,0,16,"18,8",40,75,103,"209,6","107,2"
42,"297,2",47,"81,7",0,"14,3","18,8",50,78,101,212,"101,2"
43,"342,2","64,5","93,4",0,"10,7","17,5",37,63,108,"186,6","84,4"
44,359,"78,5",87,0,14,"17,5",49,76,106,228,"111,4"
45,313.4,16,112,0,27.5,17,35,63,113,210.8,86.2
46,353.7,15,99.8,0,60.6,14,42,70,111,218.2,87.6
47,410.5,38.5,138,0,28,13,36,63,113,261.0,106.8
48,439,58,150.5,0,10,12,39,82,111,286.8,160.6
49,264.8,36.5,92,0,50,12,28,62,108,184.4,71
50,279.8,68.5,30,0,45,12,38,73,107,178.0,73.6
51,211.6,0,62.3,0,44,11,26,58,109,113.0,39.8
52,279.8,0,91.5,0,58.5,11,32,70,106,172.6,71.8
53,348.2,23,130,0,22.5,11,35,70,115,187.8,74
54,397.6,22,159,0,20,12,35,69,111,250.2,107.2
55,358.9,0,125.9,0,37.5,12,36,68,116,187.6,77.2
56,344,22,123,0,24,12,42,67,112,191.0,91
57,387.1,78.6,102.1,0,14,13.5,31,67,108,168.7,67
58,394.2,53.8,128,0,16.8,13.5,35,65,104,172.8,73.6
59,299.5,15.5,120.5,0,0,13.5,34,71,108,127.4,41
60,363.7,38.4,144,0,0,13.5,35,72,104,165.2,59.4
61,421.5,50,111,0,50,15,35,67,106,163.0,67
62,331,66.8,98.5,0,0,15,34,66,102,139.6,53.2
63,454.4,12.3,91,0,123,19,44,75,105,175.7,76.2
64,420.9,56.7,115,0,39,19,38,67,100,201.4,83.4
65,399.6,32,82,0,50,22,39,71,104,96.0,19.3
66,306.6,8,128,0,66.5,22,35,54,102,136.6,47.2
67,453.2,0,104,0,121.9,23,46,69,97,135.6,60
68,361.8,0,90,0,91,23,43,75,92,137.4,58.6
69,367,0,97,0,87,24.5,40,72,91,145.2,54
70,293.6,0,62,0,84.2,24.5,45,73,88,129.8,60
71,351.8,0,46,0,130,25.5,50,73,80,157.8,82.2
72,264.6,0,39,0,94,25.5,50,75,88,139.4,58
73,432.4,0,136,0,80,26,50,71,88,153.6,58
74,313.4,0,64,0,92,26,48,69,83,158.8,60.4
75,440.4,0,100,0,120,26,48.5,72,86,190.4,52.4
76,357.4,0,100,0,80,26,61,76,84,294.0,86
77,362,0,80,0,101,25,51,72,98,177.0,68
78,316.9,0,74,0,88,25,46,72,96,179.8,83.6
79,220,0,30,0,80,24,50.4,72,103,114.6,58
80,250,0,41,0,84,24,51.3,72,100,136.2,64.4
81,280,0,43,0,96,24,43.5,70,103,163.4,56.2
82,261,0,36,0,90,24,47,75,100,150.5,59.3
83,344.3,0,46.3,0,125,23,41,70,102,178.6,62.2
84,335,0,71.7,0,95,23,48,73,100,193.2,70
85,319.8,0,73,0,85,23,49,72,102,185.6,62.4
86,349.2,0,78.9,0,95.9,23,48,71,100,199.4,57
87,264.4,45,52.1,0,31.1,21.5,56,75,107,224.2,125.2
88,301,90,54,0,0,21.5,57,78,105,204.0,123.4
